,Unnamed: 0,rooms,type,price,date,distance,bedrooms,bathrooms,car,land_area,building_area,year_built,council_area,region,month,quarter
0,1,2,h,1035000.0,2016-04-02,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,Northern,Apr,Q2
1,2,3,h,1465000.0,2017-04-03,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,Northern,Apr,Q2
2,4,4,h,1600000.0,2016-04-06,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,Northern,Apr,Q2
3,6,3,h,1876000.0,2016-07-05,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,Northern,Jul,Q3
4,7,2,h,1636000.0,2016-08-10,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,Northern,Aug,Q3
5,9,2,h,1097000.0,2016-08-10,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,Northern,Aug,Q3
6,11,3,h,1350000.0,2016-12-11,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,Northern,Dec,Q4
7,15,2,h,1310000.0,2016-10-15,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,Northern,Oct,Q4
8,16,3,h,1200000.0,2016-07-16,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,Northern,Jul,Q3
9,17,3,h,1176500.0,2016-07-16,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,Northern,Jul,Q3
10,19,2,h,890000.0,2016-09-17,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,Northern,Sep,Q3
11,20,4,h,1330000.0,2017-03-18,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,Northern,Mar,Q1
12,24,2,h,1100000.0,2016-06-18,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,Northern,Jun,Q2
13,25,2,h,1315000.0,2016-11-19,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,Northern,Nov,Q4
14,27,3,h,1447500.0,2016-08-22,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,Northern,Aug,Q3
15,29,2,h,1135000.0,2016-08-22,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,Northern,Aug,Q3
17,32,3,h,1290000.0,2017-02-25,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,Northern,Feb,Q1
18,34,2,h,1180000.0,2016-11-27,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,Northern,Nov,Q4
19,35,3,h,1195000.0,2016-11-27,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,Northern,Nov,Q4
20,36,2,h,1012500.0,2016-05-28,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,Northern,May,Q2
21,37,2,h,1030000.0,2016-07-30,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,Northern,Jul,Q3
22,38,3,t,840000.0,2016-03-09,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,Western,Mar,Q1
23,41,2,h,603000.0,2017-04-03,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,Western,Apr,Q2
24,42,3,t,700000.0,2017-04-03,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,Western,Apr,Q2
25,43,3,h,600000.0,2017-04-03,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,Western,Apr,Q2
26,44,2,u,500000.0,2017-04-03,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,Western,Apr,Q2
28,47,6,h,725000.0,2016-07-05,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,Western,Jul,Q3
29,48,2,t,450000.0,2016-07-05,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,Western,Jul,Q3
30,49,2,u,515000.0,2016-07-11,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,Western,Jul,Q3
31,50,2,u,530000.0,2016-10-09,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,Western,Oct,Q4
32,51,3,h,895000.0,2016-10-09,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,Western,Oct,Q4
33,53,3,u,752000.0,2017-11-02,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,Western,Nov,Q4
34,56,3,t,700000.0,2016-10-15,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,Western,Oct,Q4
35,57,3,h,830000.0,2016-04-16,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,Western,Apr,Q2
36,60,2,h,675000.0,2016-07-16,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,Western,Jul,Q3
37,61,3,h,1042000.0,2016-07-16,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,Western,Jul,Q3
38,63,4,h,773000.0,2016-09-17,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,Western,Sep,Q3
39,64,3,h,810000.0,2017-03-18,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,Western,Mar,Q1
40,65,3,h,715000.0,2017-03-18,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,Western,Mar,Q1
41,67,3,t,540000.0,2016-06-18,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,Western,Jun,Q2
42,68,3,t,825000.0,2016-11-19,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,Western,Nov,Q4
43,69,3,h,685000.0,2016-05-22,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,Western,May,Q2
45,77,4,h,900000.0,2016-11-27,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,Western,Nov,Q4
46,78,2,h,1275000.0,2016-03-09,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,Southern,Mar,Q1
47,80,3,h,2850000.0,2017-04-03,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,Southern,Apr,Q2
48,81,3,h,1850000.0,2017-04-03,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,Southern,Apr,Q2
49,82,2,h,1436000.0,2017-04-03,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,Southern,Apr,Q2
50,85,4,h,2300000.0,2016-07-05,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,Southern,Jul,Q3
51,87,3,h,1800000.0,2016-07-11,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,Southern,Jul,Q3
52,88,2,h,2120000.0,2016-10-09,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,Southern,Oct,Q4
53,90,3,h,1800000.0,2016-10-09,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,Southern,Oct,Q4
54,92,3,h,2615000.0,2016-10-12,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,Southern,Oct,Q4
55,98,2,h,1322500.0,2016-10-15,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,Southern,Oct,Q4
56,99,2,h,1562500.0,2016-10-15,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,Southern,Oct,Q4
57,100,3,h,2000000.0,2016-04-16,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,Southern,Apr,Q2
58,102,3,h,3010000.0,2017-03-18,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,Southern,Mar,Q1
59,103,4,h,2800000.0,2016-06-18,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,Southern,Jun,Q2
60,105,3,h,2100000.0,2016-04-23,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,Southern,Apr,Q2
61,106,3,h,2000000.0,2016-09-24,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,Southern,Sep,Q3
62,108,4,h,4735000.0,2017-02-25,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,Southern,Feb,Q1
63,113,4,h,2140000.0,2016-06-27,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,Southern,Jun,Q2
64,115,2,h,980000.0,2016-05-28,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,Southern,May,Q2
65,117,3,h,1740000.0,2016-08-28,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,Southern,Aug,Q3
66,119,1,h,985000.0,2016-07-30,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,Southern,Jul,Q3
67,120,4,h,2000000.0,2016-03-09,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,Northern,Mar,Q1
68,123,4,h,1717500.0,2016-08-10,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,Northern,Aug,Q3
69,124,5,h,2840000.0,2016-12-06,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,Northern,Dec,Q4
70,125,2,u,525500.0,2016-12-11,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,Northern,Dec,Q4
71,126,2,t,805000.0,2016-12-11,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,Northern,Dec,Q4
72,131,4,h,1830000.0,2016-11-19,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,Northern,Nov,Q4
73,132,4,h,2100000.0,2016-11-19,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,Northern,Nov,Q4
74,133,3,h,865000.0,2016-05-22,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,Northern,May,Q2
75,138,4,h,1900000.0,2016-11-27,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,Northern,Nov,Q4
76,140,4,h,1950000.0,2016-07-30,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,Northern,Jul,Q3
77,141,3,h,520000.0,2016-03-09,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,Western,Mar,Q1
78,142,5,h,1525000.0,2016-03-12,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,Western,Mar,Q1
79,143,2,t,720000.0,2016-04-02,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,Western,Apr,Q2
80,144,3,h,1120000.0,2017-04-03,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,Western,Apr,Q2
81,146,4,h,1780000.0,2016-04-06,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,Western,Apr,Q2
82,147,3,u,630000.0,2016-06-08,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,Western,Jun,Q2
83,149,3,h,660000.0,2016-07-05,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,Western,Jul,Q3
84,151,2,u,580000.0,2016-08-10,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,Western,Aug,Q3
85,152,3,h,1335000.0,2016-08-10,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,Western,Aug,Q3
86,154,2,u,510000.0,2016-10-09,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,Western,Oct,Q4
87,156,2,u,425000.0,2016-10-09,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,Western,Oct,Q4
89,161,4,h,845000.0,2017-11-02,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,Western,Nov,Q4
91,163,3,u,730000.0,2016-08-13,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,Western,Aug,Q3
92,166,2,u,447000.0,2016-10-15,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,Western,Oct,Q4
93,168,3,h,678000.0,2016-04-16,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,Western,Apr,Q2
94,169,2,u,580000.0,2016-07-16,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,Western,Jul,Q3
