model_year,origin,mpg_mean
70,europe,25.2
70,japan,25.5
70,usa,15.272727
71,europe,28.75
71,japan,29.5
71,usa,18.1
72,europe,22
72,japan,24.2
72,usa,16.277778
73,europe,24
73,japan,20
73,usa,15.034483
74,europe,27
74,japan,29.333333
74,usa,18.333333
75,europe,24.5
75,japan,27.5
75,usa,17.55
76,europe,24.25
76,japan,28
76,usa,19.431818
77,europe,29.25
77,japan,27.416667
77,usa,20.722222
78,europe,24.95
78,japan,29.6875
78,usa,21.772727
79,europe,30.45
79,japan,32.95
79,usa,23.478261
80,europe,37.288889
80,japan,35.4
80,usa,25.914286
81,europe,31.575
81,japan,32.958333
81,usa,27.530769
82,europe,40
82,japan,34.888889
82,usa,29.45
