0  model_year  origin   mpg_mean
0            0          70  europe  25.200000
1            1          70   japan  25.500000
2            2          70     usa  15.272727
3            3          71  europe  28.750000
4            4          71   japan  29.500000
5            5          71     usa  18.100000
6            6          72  europe  22.000000
7            7          72   japan  24.200000
8            8          72     usa  16.277778
9            9          73  europe  24.000000
10          10          73   japan  20.000000
11          11          73     usa  15.034483
12          12          74  europe  27.000000
13          13          74   japan  29.333333
14          14          74     usa  18.333333
15          15          75  europe  24.500000
16          16          75   japan  27.500000
17          17          75     usa  17.550000
18          18          76  europe  24.250000
19          19          76   japan  28.000000
20          20          76     usa  19.431818
21          21          77  europe  29.250000
22          22          77   japan  27.416667
23          23          77     usa  20.722222
24          24          78  europe  24.950000
25          25          78   japan  29.687500
26          26          78     usa  21.772727
27          27          79  europe  30.450000
28          28          79   japan  32.950000
29          29          79     usa  23.478261
30          30          80  europe  37.288889
31          31          80   japan  35.400000
32          32          80     usa  25.914286
33          33          81  europe  31.575000
34          34          81   japan  32.958333
35          35          81     usa  27.530769
36          36          82  europe  40.000000
37          37          82   japan  34.888889
38          38          82     usa  29.450000
