y1_gpa,y2_gpa,y3_gpa,y4_gpa
2.785877,2.052513,2.170544,0.06557
1.144557,2.666498,0.267098,2.884737
0.907406,0.423634,2.613459,0.03095
2.205259,0.52358,3.984345,0.339289
2.877876,1.287922,3.077589,0.901994
1.692426,2.646257,2.295096,3.500498
3.923057,3.386025,0.410541,1.454305
2.739319,2.213029,2.799336,2.15984
1.923728,3.41781,2.644671,2.272413
1.56847,1.539351,0.196389,0.901853
1.372712,1.267152,3.169197,2.288587
2.916199,1.417059,2.074866,2.643807
1.754289,0.684327,1.703471,1.192982
0.238712,3.316451,3.152749,1.674507
1.592177,1.354683,1.646277,1.812356
2.951982,2.20948,1.924105,3.729403
0.729967,2.314206,0.726515,2.349975
0.701807,2.086132,1.285276,3.793009
2.126205,0.010752,3.382132,2.224139
2.12731,3.953382,0.747615,2.002246
2.537604,3.621366,1.669164,0.014129
3.397727,0.830543,3.956138,1.923556
2.897821,1.169958,0.946399,3.70982
2.444094,2.080041,3.667329,0.793463
2.889774,3.607645,3.67359,0.208365
1.291836,3.934524,0.365185,1.627116
1.447155,1.030168,1.854611,1.489586
0.913053,2.257436,2.008865,3.428612
1.174856,3.227875,1.254676,0.106444
2.523904,1.57748,0.189358,3.680597
